id,title,original_air_date,production_code,season,number_in_season,number_in_series,us_viewers_in_millions,views,imdb_rating,imdb_votes
247,"It's a Mad, Mad, Mad, Mad Marge",14/05/2000,BABF18,11,21,247,7.5,54146,7.3,737
249,Treehouse of Horror XI,01/11/2000,BABF21,12,1,249,13.2,77719,7.6,829
251,Insane Clown Poppy,12/11/2000,BABF17,12,3,251,16.4,40443,7.1,733
254,The Computer Wore Menace Shoes,03/12/2000,CABF02,12,6,254,15.6,51100,7.7,782
258,Pokey Mom,14/01/2001,CABF05,12,10,258,15,51024,7.3,760
261,Day of the Jackanapes,18/02/2001,CABF10,12,13,261,15.4,49986,7.2,668
263,"Hungry, Hungry Homer",04/03/2001,CABF09,12,15,263,17.6,49811,7.4,731
265,Simpson Safari,01/04/2001,CABF13,12,17,265,13.3,49065,6.9,719
268,Children of a Lesser Clod,13/05/2001,CABF16,12,20,268,13.8,50070,7.3,666
270,Treehouse of Horror XII,06/11/2001,CABF19,13,1,270,13,77136,7.5,824
272,Homer the Moe,18/11/2001,CABF20,13,3,272,14.4,44651,7.2,698
274,The Blunder Years,09/12/2001,CABF21,13,5,274,12.9,45288,7.7,716
279,Half-Decent Proposal,10/02/2002,DABF04,13,10,279,13.2,42977,7.5,683
281,The Lastest Gun in the West,24/02/2002,DABF07,13,12,281,13.2,44787,6.5,656
284,Blame It on Lisa,31/03/2002,DABF10,13,15,284,11.1,50694,7,670
286,Gump Roast,21/04/2002,DABF12,13,17,286,12.3,46335,5.6,721
70,Homer's Triple Bypass,17/12/1992,9F09,4,11,70,23.6,57400,8.7,1445
294,Bart vs. Lisa vs. the Third Grade,17/11/2002,DABF20,14,3,294,13.3,43130,7,645
297,The Great Louse Detective,15/12/2002,EABF01,14,6,297,15.5,48110,7.3,628
299,The Dad Who Knew Too Little,12/01/2003,EABF03,14,8,299,12.8,47170,7.3,598
301,Pray Anything,09/02/2003,EABF06,14,10,301,13.4,46336,6.8,598
306,C.E.D'oh,16/03/2003,EABF10,14,15,306,13,47386,7.3,557
308,Three Gays of the Condo,13/04/2003,EABF12,14,17,308,12.02,49263,7.2,649
